{'elevation': 19.0, 'canting': 7.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'K2': 0.90778105579833, 'frequency': 35.5, 'n': (5.205429028358611+2.7778295107639392j), 'wl': 8.444857971830986, 'prefactor': 0.054621180151764676}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.26,1.6804248554564582e-05,1.680424855456473e-05,0.0015987339413985418,1.6873344252618188e-05,2.0983853559844956e-19,1.0
0.27,2.1068616074364205e-05,2.106861607436438e-05,0.0018109384922544226,2.116136432415377e-05,1.0491926779922478e-19,1.0
0.28,2.6198330855467303e-05,2.6198330855467537e-05,0.002043656798882684,2.6321417108172658e-05,2.0983853559844956e-19,1.0
0.29000000000000004,3.232834279028411e-05,3.232834279028439e-05,0.0022983265489018236,3.248995177481197e-05,2.0983853559844956e-19,1.0
0.3,3.960875849473606e-05,3.96087584947364e-05,0.002576468517877344,3.981884033063644e-05,3.1475780339767437e-19,1.0
0.31,4.820596008103287e-05,4.820596008103327e-05,0.0028796916807998993,4.8476498445255287e-05,2.0983853559844956e-19,1.0
0.32,5.830374271107722e-05,5.8303742711077705e-05,0.003209697273974504,5.864904560518841e-05,2.0983853559844956e-19,1.0
0.33,7.010443571463308e-05,7.010443571463369e-05,0.003568284559457219,7.054150459498266e-05,2.0983853559844956e-19,1.0
0.34,8.383019307514181e-05,8.383019307514253e-05,0.003957354674821872,8.437904030557765e-05,0.0,1.0
0.35000000000000003,9.972421539280207e-05,9.972421539280293e-05,0.004378916742411386,0.00010040823786992134,4.196770711968991e-19,1.0
0.36000000000000004,0.00011805202615557376,0.00011805202615557478,0.004835093056063185,0.00011889842012583523,0.0,1.0
0.37,0.0001391028593983336,0.00013910285939833475,0.005328124574208776,0.00014014300440612923,2.0983853559844956e-19,1.0
0.38,0.000163191053200995,0.00016319105320099637,0.005860376854722226,0.00016446089865596692,0.0,1.0
0.39,0.00019065739847416542,0.00019065739847416705,0.006434344376828082,0.00019219793687747904,0.0,1.0
0.4,0.0002218707919022896,0.0002218707919022916,0.007052659889721593,0.0002237283539016282,8.393541423937982e-19,1.0
0.41000000000000003,0.0002572295653607282,0.0002572295653607304,0.0077180965670905245,0.0002594562994873225,8.393541423937982e-19,1.0
0.42000000000000004,0.0002971632324619473,0.0002971632324619499,0.008433578233842639,0.0002998173917477792,8.393541423937982e-19,1.0
0.43,0.00034213420918844035,0.00034213420918844333,0.00920218276386006,0.0003452803099041374,4.196770711968991e-19,1.0
0.44,0.0003926392296491121,0.00039263922964911566,0.01002715156593323,0.0003963484263663222,1.2590312135906975e-18,1.0
0.45,0.0004492114658086092,0.00044921146580861296,0.010911892994266858,0.00045356147814115585,0.0,1.0
0.46,0.0005124220487458338,0.0005124220487458381,0.011859994312680538,0.000517497277567721,1.2590312135906975e-18,1.0
0.47000000000000003,0.000582882316021553,0.0005828823160215578,0.012875223009558753,0.0005887734623799725,1.6787082847875965e-18,1.0
0.48000000000000004,0.0006612456037363219,0.0006612456037363275,0.013961540257690846,0.0006680492850965994,8.393541423937982e-19,1.0
